province,POLY_ID,ln_gdppc2001,ln_gdppc2017,growth,an_growth,club_name,club,high_club,id,inv_share2001,invpc2001,labor_share_2001,edu2001,agri_change,min_change,manu_change,const_change,serv_change,agri2001,min2001,manu2001,const2001,serv2001,pop_growth,manu_emp_share_change,CRED_DIST,CONST_CHG1,COORD_X,COORD_Y
Central Java,11,   9.444146870999999,  10.169613960000000,   0.725467091000000,   0.045341693000000,LowerMiddle,3,2,14,  11.140000000000001,   1.410000000000000,   8.740000000000000,  37.609999999999999,  -6.130000000000000,   0.250000000000000,   1.410000000000000,   1.530000000000000,   2.950000000000000,  19.350000000000001,   2.030000000000000,  33.130000000000003,   9.029999999999999,  36.460000000000001,   1.540000000000000,   2.550000000000000,   6.870000000000000,   2.640000000000000, 110.200046827881209,  -7.258565338832429
East Java,12,   9.748411445000000,  10.537945740000000,   0.789534292000000,   0.049345893000000,UpperMiddle,2,1,16,  14.440000000000000,   2.470000000000000,   6.410000000000000,  36.829999999999998,  -5.710000000000000,   0.580000000000000,  -4.680000000000000,  -1.160000000000000,  10.970000000000001,  16.989999999999998,   4.860000000000000,  33.969999999999999,  10.750000000000000,  33.430000000000000,   1.570000000000000,   1.490000000000000,  10.710000000000001,   7.080000000000000, 112.733415946191684,  -7.719056676623664
West Kalimantan,13,   9.537771864000000,  10.134678640000001,   0.596906771000000,   0.037306673000000,LowerMiddle,3,2,20,  16.230000000000000,   2.250000000000000,   3.210000000000000,  24.440000000000001,  -3.110000000000000,   0.500000000000000,  -7.230000000000000,   2.990000000000000,   6.850000000000000,  25.910000000000000,   4.070000000000000,  23.390000000000001,   8.550000000000001,  38.079999999999998,   1.350000000000000,  -2.300000000000000,   1.440000000000000,   3.950000000000000, 111.120646747831984,  -0.086102144844706
South Kalimantan,14,   9.785210644999999,  10.294853740000001,   0.509643091000000,   0.031852693000000,LowerMiddle,3,2,22,   6.780000000000000,   1.200000000000000,   6.510000000000000,  30.600000000000001,  -2.770000000000000,  -0.040000000000000,  -5.680000000000000,   1.110000000000000,   7.370000000000000,  16.960000000000001,  25.989999999999998,  18.750000000000000,   6.850000000000000,  31.449999999999999,   1.380000000000000,  -6.200000000000000,   1.200000000000000,   2.590000000000000, 115.434941989287765,  -3.001507670992911
Central Kalimantan,15,   9.801067155000000,  10.445172100000001,   0.644104949000000,   0.040256559000000,LowerMiddle,3,2,21,  17.190000000000001,   3.100000000000000,   2.720000000000000,  25.340000000000000, -10.890000000000001,   5.520000000000000,  -1.770000000000000,   1.510000000000000,   5.630000000000000,  31.500000000000000,  11.000000000000000,  17.370000000000001,   7.420000000000000,  32.710000000000001,   1.320000000000000,  -2.240000000000000,   0.960000000000000,   4.070000000000000, 113.416812476243379,  -1.601037236649411
East Kalimantan,16,  11.868142349999999,  11.749222130000000,  -0.118920213000000,  -0.007432513000000,Rich,1,1,23,   9.230000000000000,  13.170000000000000,   4.530000000000000,  41.750000000000000,   0.150000000000000,   2.040000000000000,  -8.020000000000000,   1.540000000000000,   4.520000000000000,   6.770000000000000,  45.490000000000002,  29.440000000000001,   5.590000000000000,  12.720000000000001,   1.420000000000000,  -3.090000000000000,   2.150000000000000,   4.610000000000000, 116.463680318280041,   0.462851936290119
North Kalimantan,17,  10.772938220000000,  11.276126600000000,   0.503188385000000,   0.031449274000000,UpperMiddle,2,1,24,  14.390000000000001,   7.980000000000000,   5.990000000000000,  36.420000000000002,  -3.480000000000000,  -1.870000000000000,  -4.630000000000000,   1.660000000000000,   8.320000000000000,  20.750000000000000,  30.190000000000001,  14.369999999999999,  10.520000000000000,  24.170000000000002,   1.190000000000000,  -2.990000000000000,   0.170000000000000,   7.910000000000000, 116.233620408288203,   2.906411012730641
Riau Islands,18,  10.969938150000001,  11.287278779999999,   0.317340629000000,   0.019833789000000,UpperMiddle,2,1,5,   8.500000000000000,   5.740000000000000,  17.230000000000000,  37.180000000000000,  -0.890000000000000, -14.949999999999999, -12.270000000000000,   8.640000000000001,  19.460000000000001,   4.440000000000000,  30.420000000000002,  49.850000000000001,   9.949999999999999,   5.350000000000000,   1.370000000000000, -12.539999999999999,   1.080000000000000,   5.150000000000000, 105.427882618688926,   1.492349421201060
Lampung,19,   9.534667729000001,  10.189380529999999,   0.654712797000000,   0.040919550000000,LowerMiddle,3,2,10,  11.350000000000000,   1.570000000000000,   3.240000000000000,  34.170000000000002,  -8.710000000000001,  -2.180000000000000,   1.280000000000000,   0.390000000000000,   9.220000000000001,  38.750000000000000,   8.260000000000000,  16.670000000000002,   9.420000000000000,  26.899999999999999,   1.430000000000000,   0.510000000000000,   1.470000000000000,  15.000000000000000, 105.023391369562304,  -4.918390830868105
North Maluku,20,   9.362202720999999,   9.862300908000000,   0.500098187000000,   0.031256137000000,Poor,4,2,32,   5.310000000000000,   0.620000000000000,   2.490000000000000,  38.310000000000002,  -5.300000000000000,  -6.260000000000000,  -0.330000000000000,   1.690000000000000,  10.199999999999999,  27.270000000000000,  15.960000000000001,   7.500000000000000,   5.210000000000000,  44.049999999999997,   1.240000000000000,   0.570000000000000,   0.210000000000000,   5.100000000000000, 127.537494477076066,   0.207257239523215
