districtID,district,ln_gdppc2010,ln_gdppc2018,g
8207,Pulau Morotai,9.3691998,9.6214876,0.25228786
8208,Pulau Taliabu,9.5558681,9.7560349,0.2001667
8271,Ternate,9.8555346,10.29302,0.43748569
8272,Tidore Kepulauan,9.48382,9.8463669,0.36254692
9101,Fakfak,10.29903,10.68063,0.38159943
9102,Kaimana,10.08253,10.30411,0.22157955
9103,Teluk Wondama,10.36176,10.32804,-0.033720016
9104,Teluk Bintuni,12.76176,12.86955,0.10778999
9105,Manokwari,10.30566,10.5757,0.27003956
9106,Sorong Selatan,9.8567934,10.19755,0.34075642
9107,Sorong,10.24691,11.48113,1.2342196
9108,Raja Ampat,10.09403,10.74724,0.65320969
9109,Tambrauw,8.8475075,9.2330589,0.38555145
9110,Maybrat,9.0643053,9.3123589,0.24805355
9111,Manokwari Selatan,10.00601,10.05332,0.047309875
9112,Pegunungan Arfak,8.265728,8.3940601,0.12833214
9171,Kota Sorong,10.22192,10.62654,0.40462017
9401,Merauke,10.20076,10.63958,0.43881989
9402,Jayawijaya,9.5279827,9.9397011,0.41171837
9403,Jayapura,10.54384,11.17037,0.62652969
9404,Nabire,10.01007,10.53608,0.52601051
9408,Kepulauan Yapen,9.9433937,10.24883,0.30543613
9409,Biak Numfor,9.8686457,10.01703,0.14838409
9410,Paniai,8.7461033,9.1956749,0.44957161
9411,Puncak Jaya,8.801239,8.9374132,0.1361742
9412,Mimika,10.29153,10.65779,0.36626053
9413,Boven Digoel,10.57043,10.75865,0.18822002
9414,Mappi,9.4793177,9.7854118,0.30609417
9415,Asmat,9.3556824,9.6286297,0.27294731
9416,Yahukimo,8.4933176,8.9392786,0.445961
9417,Pegunungan Bintang,9.4410954,9.7932386,0.35214329
9418,Tolikara,8.6895428,8.9000664,0.21052361
9419,Sarmi,10.33198,10.67581,0.34383011
9420,Keerom,10.00047,10.43332,0.43284988
9426,Waropen,10.20119,10.7444,0.54321003
9427,Supiori,10.28,10.5,0.22000027
9428,Mamberamo Raya,10.13565,10.5995,0.46385002
9429,Nduga,8.4073591,8.9467916,0.53943253
9430,Lanny Jaya,8.0975389,8.7148924,0.61735344
9431,Mamberamo Tengah,9.1159039,9.5943098,0.47840595
9432,Yalimo,8.8390923,9.3660135,0.52692127
9433,Puncak,8.4360065,8.8632612,0.42725468
9434,Dogiyai,8.557497,9.0485659,0.49106884
9435,Intan Jaya,8.9826164,9.6247787,0.64216232
9436,Deiyai,8.7061558,9.3027973,0.59664154
9471,Kota Jayapura,10.68227,11.19626,0.5139904
