hc2_2010,hc2_2011,hc2_2012,hc2_2013,hc2_2014,hc2_2015,hc2_2016,hc2_2017,hc2_2018,id
2.3588872,2.4240992,2.4785655,2.4835773,2.5897465,2.5915082,2.5932708,2.5950348,2.6145186,1401
2.3612709,2.387651,2.4045916,2.4240992,2.4462347,2.5138614,2.5164018,2.5316975,2.587986,1402
2.2090001,2.2359362,2.2449875,2.2540758,2.2700684,2.2723625,2.300071,2.3565059,2.3588872,1403
2.300071,2.3612709,2.4118884,2.4936311,2.5138614,2.5897465,2.5915082,2.5932708,2.6377335,1404
2.6665888,2.688437,2.6975935,2.7049408,2.7494476,2.7776353,2.7795248,2.8156693,2.8619981,1405
2.5739458,2.6593454,2.6647761,2.6702178,2.6702178,2.7104645,2.7123082,2.7569363,2.7588117,1406
2.3565059,2.3708296,2.387651,2.4045916,2.5164018,2.5189447,2.5522363,2.5915082,2.6252077,1407
2.5844688,2.6198578,2.6738517,2.6957595,2.7031021,2.7067807,2.708622,2.7196958,2.7795248,1408
2.3708296,2.3852406,2.399739,2.4143257,2.4635909,2.4635909,2.5291417,2.5316975,2.5862267,1409
2.117254,2.1495748,2.267777,2.3924787,2.4192076,2.4216521,2.4240992,2.4265487,2.4290009,1410
3.0696392,3.10533,3.1137881,3.124393,3.1286449,3.1329029,3.1822865,3.1844513,3.1866176,1471
2.8080211,2.8195012,2.8310282,2.8426025,2.8464711,2.8484073,2.8503449,2.8678424,2.9011872,1473
2.279258,2.3257673,2.399739,2.4860871,2.5011985,2.503726,2.5704474,2.5932708,2.5950348,1501
2.2179425,2.2472563,2.2884848,2.3140519,2.3234193,2.3328249,2.4192076,2.4635909,2.4760635,1502
2.2201838,2.2314241,2.297749,2.3422687,2.3684363,2.3708296,2.3948965,2.4265487,2.4660804,1503
2.3565059,2.3973165,2.4045916,2.4118884,2.4167652,2.4192076,2.4810703,2.5011985,2.5138614,1504
2.4070213,2.4192076,2.4339123,2.4487066,2.4785655,2.5617228,2.5634654,2.5739458,2.5756965,1505
1.866136,1.9119239,2.0028477,2.0707276,2.0770113,2.1474047,2.1604576,2.1626406,2.1648262,1506
2.249527,2.2815614,2.3140519,2.3708296,2.3804274,2.402164,2.4167652,2.4192076,2.4487066,1507
2.2179425,2.2838669,2.3093822,2.3780243,2.4290009,2.4412985,2.4437652,2.4462347,2.4487066,1508
2.5011985,2.5062559,2.5138614,2.5214901,2.5240381,2.5265884,2.5573971,2.5739458,2.5756965,1509
2.8581083,2.9051354,2.9933705,3.0446928,3.0592201,3.061301,3.0654671,3.0675523,3.0696392,1571
2.688437,2.7104645,2.7215457,2.7345312,2.7494476,2.7719748,2.8022985,2.8445361,2.9011872,1572
2.3948965,2.4143257,2.4511812,2.4511812,2.5368166,2.5897465,2.6180768,2.679312,2.6811345,1601
2.0665488,2.0686371,2.0770113,2.1801856,2.1868017,2.1890113,2.2540758,2.3163903,2.3187308,1602
2.260916,2.3070507,2.3070507,2.3517506,2.3588872,2.4094536,2.4118884,2.4314554,2.4586194,1603
2.3732255,2.4143257,2.4936311,2.4986737,2.5240381,2.5756965,2.5774486,2.6359406,2.6377335,1604
2.0540636,2.1065888,2.1151168,2.1258249,2.2246733,2.2427213,2.279258,2.3565059,2.3804274,1605
2.321074,2.3328249,2.3422687,2.3541272,2.3565059,2.4437652,2.4462347,2.4561377,2.4586194,1606
2.1301236,2.1365876,2.1978729,2.2112324,2.2838669,2.2861748,2.2884848,2.3517506,2.3541272,1607
2.2449875,2.2861748,2.2954295,2.3756237,2.3852406,2.4240992,2.4265487,2.4735639,2.5138614,1608
2.1258249,2.2000937,2.2359362,2.2723625,2.3257673,2.3257673,2.3281174,2.3422687,2.3780243,1609
2.1801856,2.249527,2.2838669,2.3163903,2.3948965,2.3973165,2.399739,2.402164,2.4536581,1610
2.2201838,2.2954295,2.3070507,2.3187308,2.3470049,2.3828328,2.3852406,2.402164,2.4045916,1611
2.2000937,2.2000937,2.202317,2.1978729,2.2000937,2.2067702,2.2090001,2.2157037,2.2179425,1612
2.0686371,2.0770113,2.0980954,2.0313692,2.1044624,2.1626406,2.1845939,2.1868017,2.1890113,1613
2.8619981,2.8972442,2.9329243,2.9710636,2.9791558,2.9832103,3.0035653,3.0056083,3.0076528,1671
2.6287804,2.7196958,2.7644453,2.8387392,2.854224,2.8581083,2.8678424,2.8697934,2.8756537,1672
2.6252077,2.6305685,2.6341486,2.6395276,2.6684024,2.672034,2.6738517,2.7271035,2.7550621,1673
2.7419794,2.7606881,2.7776353,2.7946866,2.8003936,2.8291039,2.8329539,2.8348811,2.8368096,1674
2.5844688,2.602103,2.6234231,2.6866095,2.693927,2.6957595,2.6975935,2.6994283,2.7419794,1701
2.4045916,2.4437652,2.4511812,2.4561377,2.4586194,2.5342557,2.5652092,2.5669541,2.5687003,1702
2.2746587,2.3446357,2.3780243,2.4936311,2.5087886,2.5113237,2.5138614,2.5164018,2.5214901,1703
2.4810703,2.4860871,2.4911139,2.4986737,2.4986737,2.503726,2.5087886,2.54966,2.602103,1704
2.3281174,2.3351824,2.3399043,2.3446357,2.402164,2.4045916,2.4462347,2.4961512,2.5342557,1705
2.297749,2.3281174,2.3588872,2.3924787,2.4094536,2.4143257,2.5214901,2.5265884,2.5291417,1706
2.3973165,2.3973165,2.3973165,2.3973165,2.4635909,2.5011985,2.5240381,2.5265884,2.5316975,1707
2.3281174,2.3470049,2.3565059,2.3660455,2.4339123,2.436372,2.5164018,2.5189447,2.5393801,1708
2.1692035,2.1956542,2.2336791,2.2700684,2.2815614,2.2861748,2.2884848,2.2907975,2.3470049,1709
3.1222692,3.147851,3.1758013,3.2018218,3.2346475,3.2368479,3.2390497,3.2633686,3.2655885,1771
2.2404573,2.279258,2.321074,2.363657,2.3732255,2.3780243,2.3804274,2.3924787,2.4586194,1801
2.1258249,2.1322761,2.1495748,2.1670136,2.2291715,2.2815614,2.2838669,2.2861748,2.3047218,1802
2.1692035,2.2112324,2.249527,2.2884848,2.3163903,2.3708296,2.4412985,2.4735639,2.4760635,1803
2.2586336,2.2838669,2.3163903,2.3493767,2.3517506,2.3612709,2.4462347,2.4487066,2.4511812,1804
2.2723625,2.2954295,2.321074,2.3234193,2.3281174,2.3470049,2.402164,2.4045916,2.436372,1805
2.3163903,2.4118884,2.4143257,2.4143257,2.4810703,2.4835773,2.4860871,2.5573971,2.5932708,1806
2.145237,2.1779847,2.1801856,2.2404573,2.2586336,2.3900638,2.3924787,2.3948965,2.3973165,1807
2.1978729,2.2179425,2.2472563,2.2769573,2.3375421,2.3399043,2.3422687,2.3493767,2.3660455,1808
2.2540758,2.2563534,2.260916,2.3117156,2.363657,2.3684363,2.3708296,2.4216521,2.4265487,1809
2.4143257,2.4070213,2.4216521,2.436372,2.4412985,2.5164018,2.5189447,2.5214901,2.5617228,1810
2.0150218,2.0129876,2.0150218,2.0190961,2.0499184,2.117254,2.1193936,2.175786,2.2224274,1811
2.175786,2.1670136,2.1823888,2.1956542,2.2700684,2.2723625,2.2746587,2.3351824,2.3375421,1812
2.402164,2.402164,2.4070213,2.3973165,2.399739,2.4265487,2.4290009,2.4536581,2.4561377,1813
2.8464711,2.9229693,2.9650087,3.0905838,3.1074424,3.1116714,3.1137881,3.1159062,3.1180255,1871
2.8156693,2.881526,2.883486,3.0281746,3.042623,3.0446928,3.0467639,3.0488362,3.0571404,1872
2.3732255,2.4437652,2.4986737,2.5291417,2.5393801,2.5445149,2.54966,2.5932708,2.5950348,1901
2.3804274,2.3924787,2.4143257,2.5634654,2.572196,2.5756965,2.5774486,2.5792017,2.5862267,1902
2.0896361,2.1258249,2.1560979,2.1845939,2.2157037,2.2404573,2.2884848,2.3281174,2.3565059,1903
2.1582766,2.1670136,2.2000937,2.2336791,2.2404573,2.2449875,2.2472563,2.2654877,2.267777,1904
1.9568578,1.9667648,1.9767221,2.056139,2.0644627,2.0665488,2.0833142,2.117254,2.1692035,1905
2.3047218,2.3708296,2.436372,2.5164018,2.5316975,2.5368166,2.547086,2.5599813,2.5844688,1906
2.8271806,2.8368096,2.8464711,2.8581083,2.8600526,2.883486,2.8854475,2.8874104,2.8893743,1971
2.2861748,2.2884848,2.3732255,2.4760635,2.4911139,2.4936311,2.4961512,2.5087886,2.5113237,2101
2.5739458,2.5827119,2.5915082,2.6003342,2.6127415,2.616297,2.6180768,2.6198578,2.62164,2102
2.3281174,2.3924787,2.4961512,2.5265884,2.572196,2.6395276,2.6413231,2.6431201,2.6866095,2103
1.9371929,1.9489681,1.9588351,1.9687524,1.9947726,1.9967883,2.0602968,2.0854194,2.1495748,2104
2.1129816,2.1151168,2.1193936,2.1215353,2.1258249,2.2269211,2.2291715,2.2427213,2.2449875,2105
3.0405548,3.0842853,3.0905838,3.0947897,3.096895,3.0990016,3.1607206,3.1628704,3.1650219,2171
2.7663257,2.8291039,2.8933067,2.911068,2.9209824,2.9229693,2.9249578,2.9269474,2.9289382,2172
2.4143257,2.4536581,2.5062559,2.5573971,2.5652092,2.5669541,2.602103,2.603873,2.6413231,3101
3.0717273,3.0990016,3.1095562,3.1286449,3.1329029,3.1887851,3.2302516,3.2412531,3.2633686,3171
3.0926859,3.124393,3.1564248,3.1779618,3.1844513,3.2083602,3.2522922,3.2700329,3.2789395,3172
3.0467639,3.0696392,3.0905838,3.1074424,3.1116714,3.1137881,3.1414361,3.143573,3.1909542,3173
2.8893743,2.8972442,2.9189968,2.9409127,2.9589663,2.9629931,3.0056083,3.0076528,3.0096989,3174
2.8893743,2.8893743,2.8893743,2.9031606,2.9031606,2.9429133,2.9791558,3.0550625,3.0738165,3175
2.2907975,2.2954295,2.3780243,2.4094536,2.4936311,2.4961512,2.5164018,2.5189447,2.5291417,3201
2.0540636,2.1065888,2.1604576,2.1604576,2.1692035,2.202317,2.2540758,2.2654877,2.267777,3202
2.1279733,2.151747,2.175786,2.2000937,2.2045424,2.2090001,2.2246733,2.2954295,2.297749,3203
2.5548155,2.5844688,2.587986,2.5915082,2.6198578,2.6323578,2.6485174,2.6503191,2.6629646,3204
2.2404573,2.2472563,2.2563534,2.267777,2.2746587,2.2769573,2.2861748,2.3804274,2.4339123,3205
2.2201838,2.2314241,2.2404573,2.2427213,2.2838669,2.2861748,2.300071,2.3422687,2.3446357,3206
2.3047218,2.3470049,2.3541272,2.3612709,2.4192076,2.4216521,2.4462347,2.4561377,2.4586194,3207
2.2179425,2.2838669,2.297749,2.3093822,2.3234193,2.3612709,2.3948965,2.3973165,2.399739,3208
2.0749147,2.0854194,2.0980954,2.1087177,2.1582766,2.1604576,2.1801856,2.2246733,2.2269211,3209
2.1670136,2.1912234,2.2201838,2.249527,2.2563534,2.267777,2.2884848,2.2907975,2.2931123,3210
