POLY_ID,GDLcode,country,iso_code,region,hdi90a,hdi00a,gr_hdi9000,ln_hdi90,ln_gh_9000,hdi00b,hdi10b,gr_hdi0010,ln_hdi00,ln_gh_0010,hdi10c,hdi18c,gr_hdi1018,ln_hdi10,ln_gh_1018,gnic90a,gnic00a,g_gnic9000,ln_gnic90,ln_gg_9000,gnic00b,gnic10b,g_gnic0010,ln_gnic00,ln_gg_0010,gnic10c,gnic18c,g_gnic1018,ln_gnic10,ln_gg_1018,COORD_X,COORD_Y
63,COLr103,Colombia,COL,Bogota D.C.,      67.300000000000011,      72.299999999999997,       1.074294205052006,       4.209160236650682,       0.071663892514037,      72.299999999999997,      78.200000000000003,       1.081604426002766,       4.280824129164719,       0.078445518386547,      78.200000000000003,      80.600000000000009,       1.030690537084399,       4.359269647551265,       0.030229001961317,      10.950703000000001,      10.821858000000001,       0.988234088715583,       2.393403655114962,      -0.011835677399835,      10.821858000000001,      13.605551000000000,       1.257228749443949,       2.381567977715126,       0.228909893516232,      13.605551000000000,      16.417542999999998,       1.206679758871948,       2.610477871231358,       0.187872587004590,     -74.214453676335566,       4.288579027301235
64,COLr104,Colombia,COL,Bolivar (Sur and Norte),      58.699999999999996,      66.000000000000000,       1.124361158432709,       4.072439726834051,       0.117215015192375,      66.000000000000000,      71.000000000000000,       1.075757575757576,       4.189654742026425,       0.073025135014890,      71.000000000000000,      74.900000000000006,       1.054929577464789,       4.262679877041316,       0.053474013481859,       6.169956000000000,       6.391234000000000,       1.035863788980019,       1.819691706611480,       0.035235657374810,       6.391234000000000,       7.929953000000000,       1.240754602319364,       1.854927363986290,       0.215719744782877,       7.929953000000000,      10.492741000000001,       1.323178207991901,       2.070647108769168,       0.280036575979892,     -74.514457088108600,       8.712907317675441
65,COLr105,Colombia,COL,Boyaca,      56.699999999999996,      61.799999999999997,       1.089947089947090,       4.037774210733707,       0.086129153729939,      61.799999999999997,      71.799999999999997,       1.161812297734628,       4.123903364463645,       0.149981111590533,      71.799999999999997,      75.400000000000006,       1.050139275766017,       4.273884476054178,       0.048922798959732,       5.404022000000000,       6.948431000000000,       1.285788806929358,       1.687143491148141,       0.251372387546291,       6.948431000000000,       9.750304000000000,       1.403238227450197,       1.938515878694432,       0.338782585316433,       9.750304000000000,      12.005359000000000,       1.231280481100897,       2.277298464010865,       0.208054669421810,     -73.121763486670886,       5.759532067443235
66,COLr106,Colombia,COL,Caldas,      59.699999999999996,      67.900000000000006,       1.137353433835846,       4.089332020398556,       0.128704014166094,      67.900000000000006,      73.700000000000003,       1.085419734904271,       4.218036034564650,       0.081966764630640,      73.700000000000003,      77.200000000000003,       1.047489823609227,       4.300002799195291,       0.046396657835439,       8.885751000000001,       9.504116000000000,       1.069590628861871,       2.184448982514082,       0.067275985418927,       9.504116000000000,      11.794005000000000,       1.240936558434262,       2.251724967933009,       0.215866383589592,      11.794005000000000,      14.513792000000000,       1.230607584107349,       2.467591351522601,       0.207508018239887,     -75.338998962673088,       5.332028039595348
67,COLr107,Colombia,COL,Caqueta,      56.499999999999993,      60.500000000000000,       1.070796460176991,       4.034240638152395,       0.068402726884401,      60.500000000000000,      69.299999999999997,       1.145454545454546,       4.102643365036796,       0.135801541159062,      69.299999999999997,      71.200000000000003,       1.027417027417028,       4.238444906195857,       0.027047912222073,       5.344162000000000,       5.099710000000000,       0.954258123163183,       1.676004750146131,      -0.046821074777696,       5.099710000000000,       8.597213999999999,       1.685824095879962,       1.629183675368435,       0.522254521918389,       8.597213999999999,       9.445774999999999,       1.098701858532311,       2.151438197286823,       0.094129354297228,     -73.986059390173821,       0.776007319601784
68,COLr108,Colombia,COL,Cauca,      55.400000000000006,      59.500000000000000,       1.074007220216606,       4.014579593753238,       0.071396718798346,      59.500000000000000,      69.599999999999994,       1.169747899159664,       4.085976312551584,       0.156788254788790,      69.599999999999994,      71.399999999999991,       1.025862068965517,       4.242764567340374,       0.025533302005165,       5.391470000000000,       4.834358000000000,       0.896667884639996,       1.684818075010311,      -0.109069736720716,       4.834358000000000,       8.337173000000000,       1.724566736679410,       1.575748338289595,       0.544975851793203,       8.337173000000000,       9.226310000000000,       1.106647301189504,       2.120724190082798,       0.101334995182032,     -76.857248425637650,       2.386240100630380
69,COLr109,Colombia,COL,Cesar,      54.800000000000004,      64.600000000000009,       1.178832116788321,       4.003690193953970,       0.164524216834586,      64.600000000000009,      69.599999999999994,       1.077399380804953,       4.168214410788556,       0.074550156551818,      69.599999999999994,      72.399999999999991,       1.040229885057471,       4.242764567340374,       0.039441732051297,       5.536675000000000,       6.758244000000000,       1.220632238663097,       1.711394140073360,       0.199368952923570,       6.758244000000000,       8.704067999999999,       1.287918577666033,       1.910763092996930,       0.253027409586139,       8.704067999999999,       9.768383999999999,       1.122277996909032,       2.163790502583070,       0.115360545491948,     -73.536264576333153,       9.518462085758358
70,COLr110,Colombia,COL,Cordoba,      54.000000000000000,      61.500000000000000,       1.138888888888889,       3.988984046564275,       0.130053128248198,      61.500000000000000,      67.000000000000000,       1.089430894308943,       4.119037174812473,       0.085655444578494,      67.000000000000000,      71.099999999999994,       1.061194029850746,       4.204692619390966,       0.059394717418229,       3.962469000000000,       5.038190000000000,       1.271477455091762,       1.376867315828948,       0.240179574768664,       5.038190000000000,       6.338460000000000,       1.258082763849716,       1.617046890597612,       0.229588946137802,       6.338460000000000,       8.586496000000000,       1.354665959870379,       1.846635836735413,       0.303554899858707,     -75.799598452553624,       8.350557367870396
71,COLr111,Colombia,COL,Cundinamarca,      56.999999999999993,      62.000000000000000,       1.087719298245614,       4.043051267834550,       0.084083117210541,      62.000000000000000,      72.500000000000000,       1.169354838709678,       4.127134385045092,       0.156452176815538,      72.500000000000000,      76.700000000000003,       1.057931034482759,       4.283586561860629,       0.056315146512581,       7.084346000000000,       7.425530000000000,       1.048160267722666,       1.957887561189719,       0.047036501422960,       7.425530000000000,      10.748668000000000,       1.447528728589070,       2.004924062612679,       0.369857777307145,      10.748668000000000,      13.810041000000000,       1.284814174184187,       2.374781839919824,       0.250614096360112,     -74.119301517178130,       4.799121173438118
72,COLr112,Colombia,COL,Choco,      52.000000000000000,      62.000000000000000,       1.192307692307692,       3.951243718581428,       0.175890666463664,      62.000000000000000,      66.299999999999997,       1.069354838709677,       4.127134385045092,       0.067055512146725,      66.299999999999997,      69.099999999999994,       1.042232277526395,       4.194189897191817,       0.041364833581807,       4.285627000000000,       4.429094000000000,       1.033476315134285,       1.455266865732772,       0.032928182735609,       4.429094000000000,       5.864102000000000,       1.323995833007834,       1.488195048468381,       0.280654310234814,       5.864102000000000,       6.026833000000000,       1.027750369962869,       1.768849358703195,       0.027372306769387,     -76.971118511220212,       5.987357329606449
73,COLr113,Colombia,COL,Huila,      59.299999999999997,      65.100000000000009,       1.097807757166948,       4.082609306003680,       0.093315243210844,      65.100000000000009,      69.500000000000000,       1.067588325652842,       4.175924549214524,       0.065402203356223,      69.500000000000000,      72.000000000000000,       1.035971223021583,       4.241326752570746,       0.035339366445309,       7.741422000000000,       8.094264000000001,       1.045578447990563,       2.046585391657245,       0.044570271017665,       8.094264000000001,      10.227074999999999,       1.263496594625527,       2.091155662674910,       0.233882952650970,      10.227074999999999,      12.557962000000000,       1.227913357436022,       2.325038615325880,       0.205316271401912,     -75.639886713329304,       2.539039073627694
74,COLr114,Colombia,COL,Guajira,      56.000000000000007,      60.000000000000000,       1.071428571428571,       4.025351690735150,       0.068992871486951,      60.000000000000000,      66.700000000000003,       1.111666666666667,       4.094344562222100,       0.105860390699477,      66.700000000000003,      69.299999999999997,       1.038980509745128,       4.200204952921578,       0.038239953274280,       4.081372000000000,       3.829843000000000,       0.938371459401397,       1.406433206398273,      -0.063609396213023,       3.829843000000000,       6.248118000000000,       1.631429277910348,       1.342823810185251,       0.489456488217329,       6.248118000000000,       7.181634000000000,       1.149407549601336,       1.832280298402580,       0.139246635367598,     -72.455166926497739,      11.456587167186923
75,COLr115,Colombia,COL,Magdalena,      57.299999999999997,      63.299999999999997,       1.104712041884817,       4.048300623720694,       0.099584705429437,      63.299999999999997,      69.899999999999991,       1.104265402843602,       4.147885329150131,       0.099180320089634,      69.899999999999991,      72.099999999999994,       1.031473533619457,       4.247065649239764,       0.030988395051139,       5.137922000000000,       6.573263000000000,       1.279362162368366,       1.636648717568177,       0.246361643083799,       6.573263000000000,       7.672145000000000,       1.167174506786052,       1.883010360651976,       0.154585876646285,       7.672145000000000,       9.487104000000000,       1.236564741672635,       2.037596237298261,       0.212337165421951,     -74.264652511669468,      10.189118255519420
76,COLr116,Colombia,COL,Meta,      65.900000000000006,      70.399999999999991,       1.068285280728376,       4.188138441508461,       0.066054821655535,      70.399999999999991,      71.399999999999991,       1.014204545454545,       4.254193263163996,       0.014104606181542,      71.399999999999991,      77.000000000000000,       1.078431372549020,       4.268297869345538,       0.075507552508145,      10.788218000000001,      12.208838000000000,       1.131682544790993,       2.378454612711428,       0.123705502987266,      12.208838000000000,      10.034300999999999,       0.821888291088800,       2.502160115698694,      -0.196150792079787,      10.034300999999999,      13.078777000000001,       1.303406884047031,       2.306009323618907,       0.264981516509553,     -72.966148060671856,       3.318787143393715
77,COLr117,Colombia,COL,Narino,      49.700000000000003,      58.599999999999994,       1.179074446680080,       3.906004933102583,       0.164729763480384,      58.599999999999994,      69.000000000000000,       1.177474402730376,       4.070734696582967,       0.163371808014293,      69.000000000000000,      71.599999999999994,       1.037681159420290,       4.234106504597260,       0.036988569369340,       3.892020000000000,       5.434166000000000,       1.396232804559072,       1.358928303056701,       0.333777755879831,       5.434166000000000,       7.809104000000000,       1.437038176603365,       1.692706058936533,       0.362584173621771,       7.809104000000000,       9.332262999999999,       1.195049137519490,       2.055290232558304,       0.178187303801272,     -77.867313506302565,       1.563412287096274
78,COLr118,Colombia,COL,Norte de Santander,      58.899999999999999,      65.700000000000003,       1.115449915110357,       4.075841090657541,       0.109257834833024,      65.700000000000003,      70.500000000000000,       1.073059360730594,       4.185098925490565,       0.070513784327658,      70.500000000000000,      74.400000000000006,       1.055319148936170,       4.255612709818223,       0.053843232020823,       8.971768000000001,       9.803913000000000,       1.092751506726433,       2.194082758098042,       0.088698833599442,       9.803913000000000,      10.295589000000000,       1.050150995831970,       2.282781591697484,       0.048933959384662,      10.295589000000000,      13.017429000000000,       1.264369527571468,       2.331715551082146,       0.234573600761623,     -72.889328015907992,       8.077473169059866
79,COLr119,Colombia,COL,Quindio,      62.200000000000003,      68.500000000000000,       1.101286173633441,       4.130354999745133,       0.096478745523046,      68.500000000000000,      73.200000000000003,       1.068613138686132,       4.226833745268180,       0.066361675699086,      73.200000000000003,      77.799999999999997,       1.062841530054645,       4.293195420967266,       0.060946010217080,       9.604042000000000,       9.849365000000001,       1.025543724194459,       2.262184051527287,       0.025222934573548,       9.849365000000001,      12.910797000000001,       1.310825317165117,       2.287406986100835,       0.270656951941262,      12.910797000000001,      15.695102000000000,       1.215657096924381,       2.558063938042097,       0.195284751115697,     -75.690182389572158,       4.478233628110480
80,COLr120,Colombia,COL,Risaralda,      61.899999999999999,      70.700000000000003,       1.142164781906301,       4.125520179690550,       0.132925393211977,      70.700000000000003,      72.599999999999994,       1.026874115983027,       4.258445572902527,       0.026519348928223,      72.599999999999994,      75.500000000000000,       1.039944903581267,       4.284964921830750,       0.039167734424229,      10.610505000000000,      11.981070000000001,       1.129170571994453,       2.361844548100184,       0.121483356124602,      11.981070000000001,      11.904769000000000,       0.993631537083082,       2.483327904224786,      -0.006388828086140,      11.904769000000000,      14.809212000000000,       1.243973066592052,       2.476939076138646,       0.218310343433133,     -75.921449465335328,       5.068082025948778
81,COLr121,Colombia,COL,Santander,      58.399999999999999,      64.400000000000006,       1.102739726027397,       4.067315889834181,       0.097797743276127,      64.400000000000006,      71.500000000000000,       1.110248447204969,       4.165113633110308,       0.104583816589654,      71.500000000000000,      77.200000000000003,       1.079720279720280,       4.269697449699962,       0.076702007330769,       6.543626000000000,       7.549215000000000,       1.153674583480169,       1.878491446077990,       0.142952138267390,       7.549215000000000,      10.037652000000000,       1.329628577275915,       2.021443584345379,       0.284899638025795,      10.037652000000000,      14.320126999999999,       1.426641110889280,       2.306343222371174,       0.355322807837082,     -73.515015390933570,       6.675394055657945
